"Pop'",1,2,3,4,5,6,"Individuals'"
1,0.257,0.083,0.041,0.577,0.022,0.021,10
2,0.323,0.099,0.017,0.483,0.035,0.044,20
3,0.092,0.017,0.034,0.808,0.041,0.008,10
4,0.122,0.652,0.041,0.066,0.027,0.092,10
5,0.377,0.245,0.147,0.067,0.07,0.094,14
6,0.128,0.019,0.048,0.044,0.746,0.014,10
7,0.757,0.062,0.041,0.072,0.049,0.019,10
8,0.107,0.164,0.031,0.068,0.012,0.619,10
9,0.214,0.243,0.011,0.431,0.046,0.056,6
10,0.283,0.462,0.027,0.127,0.024,0.077,10
11,0.059,0.029,0.842,0.034,0.016,0.019,10
12,0.059,0.102,0.475,0.039,0.116,0.21,10
13,0.09,0.041,0.763,0.061,0.032,0.013,10
14,0.075,0.824,0.036,0.035,0.018,0.012,10
15,0.016,0.04,0.009,0.013,0.905,0.018,10
