"ID (14)","Location","SB196","1_3","SB207","2_3","SB85","3_3","SB100","3_4","GCPM_2425","5_3","GCPM_961","6_2","SB194","7_2","SB243","8_complicated","SB233","9_complicated","SB88","10_complicated","SB201","11_complicated","WPMS_15","12_3","SB210","13_complicated","SB 38","14_2"
"Se197","AlamoL",186,186,94,98,98,98,109,109,188,188,151,160,115,115,111,111,175,175,71,93,205,230,169,169,133,133,117,117
"Se74","Cibola",192,192,92,92,98,98,115,115,200,206,151,151,113,113,114,114,190,190,102,102,209,237,163,163,,,117,117
"Se75","Cibola",192,192,92,92,98,98,115,115,200,203,151,160,113,113,114,114,190,190,99,102,209,209,163,163,137,137,117,117
"Se76","Cibola",192,192,92,92,98,98,115,115,200,203,151,160,113,113,114,114,190,190,99,102,209,209,163,163,137,137,117,117
"Se77","Cibola",192,192,92,92,98,98,109,115,197,197,151,151,115,115,114,114,190,190,99,102,209,213,163,163,137,137,117,117
"Se78","Cibola",192,192,92,92,98,98,115,115,200,206,151,151,115,115,114,114,190,190,102,102,209,237,163,163,137,137,117,117
"Se79","Cibola",192,192,92,92,98,98,115,115,200,206,151,151,115,115,114,114,190,190,99,102,209,213,163,163,133,137,117,117
"Se80","Cibola",192,192,92,92,98,98,115,115,200,206,151,151,113,113,114,114,190,190,102,102,209,237,163,163,137,137,117,117
"Se151","DavisD",192,192,92,92,98,98,115,115,185,197,151,160,113,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se152","DavisD",192,192,92,92,98,98,115,115,197,200,151,151,115,115,114,114,190,190,102,102,209,230,163,163,133,133,117,117
"Se153","DavisD",192,192,92,92,98,98,115,115,185,197,151,160,113,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se155","DavisD",192,192,92,92,98,98,115,115,185,197,151,160,113,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se156","DavisD",192,192,92,92,98,104,115,115,200,203,151,151,113,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se157","DavisD",192,192,92,92,98,104,115,115,200,203,151,151,113,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se158","DavisD",192,192,92,92,98,98,115,115,197,200,151,151,115,115,114,114,190,190,102,102,209,230,163,163,133,133,117,117
"Se159","DavisD",192,192,92,92,98,104,115,115,197,203,151,151,113,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se160","DavisD",192,192,92,92,98,104,115,115,197,203,151,151,113,115,114,114,190,190,102,102,209,209,163,163,133,133,117,117
"Se421","GilaR",192,192,92,92,98,98,115,115,175,200,156,160,113,113,114,114,163,190,99,102,219,219,163,163,,,117,117
"Se422","GilaR",192,192,92,98,98,98,115,115,197,200,149,160,115,115,114,114,190,190,99,102,213,213,163,163,133,133,117,117
"Se423","GilaR",192,192,92,92,98,98,115,115,197,200,151,151,115,115,114,114,190,190,99,102,235,235,163,163,133,137,117,117
"Se424","GilaR",192,192,92,98,98,98,115,115,197,200,149,160,115,115,114,114,190,190,99,102,213,213,163,163,133,133,117,117
"Se425","GilaR",192,192,92,92,95,98,115,115,200,200,160,160,115,115,114,114,190,190,102,102,201,240,163,163,133,133,117,117
"Se426","GilaR",186,192,92,98,98,98,115,115,197,200,151,151,115,117,114,114,190,190,102,102,201,201,163,163,,,117,117
"Se427","GilaR",192,192,92,92,98,104,109,109,200,200,149,160,115,115,114,114,190,190,102,102,209,235,163,163,133,133,117,117
"Se428","GilaR",192,192,92,94,98,98,115,115,197,200,149,160,115,115,114,114,190,190,102,102,209,209,163,163,133,137,117,117
"Se429","GilaR",186,192,92,92,98,98,115,115,200,200,151,160,113,113,114,114,190,190,99,102,201,201,163,163,133,133,117,117
"Se430","GilaR",192,192,92,92,92,98,115,115,197,200,151,160,115,115,114,114,190,190,102,102,209,209,163,163,139,139,117,117
